Input,Category
एसिया कप २०२३ अन्तर्गत सुपर फोरको खेलमा भारतले पाकिस्तानमाथि २२८ रनको फराकिलो अन्तरको जित हात पारेको छ। सोमबार कोलम्बोमा भारतले दिएको ३५७ रनको लक्ष्य पछ्याएको पाकिस्तानले ३२ ओभरमा १२८ रन मात्र बनाउन सक्यो।पाकिस्तानका लागि सबैभन्दा बढी रनमा फखर जमानले २७ रन जोडे।  अघा सलमान र इफ्तिखर अहमदले २३-२३ रन बनाए। अरु ब्याट्सम्यान सस्तैमा आउट भए। नशीम शाह र हरिस रउफले घाइते भएका कारण ब्याटिङ गर्न सकेनन्।बलिङमा भारतका कुलदिप यादवले ५ विकेट लिए। उनले ८ ओभरमा २५ रन खर्चिए।त्यसअघि आइतबार वर्षाले प्रभावित भएपछि सोमबारदेखि सुरु भएको खेलमा भारतले २ विकेटको क्षतिमा ३५६ रन जोड्यो।भारतका लागि विराट कोहली र केएल राहुलले शतक प्रहार गरे। कोहलीले ९४ बलमा ९ चौका र ३ छक्काको मद्दतमा नटआउट १२२ रन र राहुलले १०६ बलमा १२ चौका र २ छक्काको मद्दतमा १११ रन जोडे।कोहलीको यो ४७औं एकदिवसीय शतक हो।कोहली र केएलबीच तेस्रो विकेटका लागि २३३ रनको साझेदारी भएको थियो।त्यसअघि श्रीलंकाको कोलम्बोमा टस हारेर पहिले ब्याटिङ गरेको भारतले २४.१ ओभरमा २ विकेटको क्षतिमा १४७ रन जोड्दा खेल वर्षाका कारण रोकिदा सोमबारसम्मका लागि स्थगित भएको थियो।आइतबार ओपनरद्वय रोहित शर्मा ५६ रन र शुभमन गिल ५८ रन बनाएका थिए। उनीहरुबीच पहिलो विकेटका लागि १२१ रनको साझेदारी भएको थियो।सोमबार भारतका लागि कोहली र राहुले २४.१ ओभरदेखि पूरै ब्याटिङ गर्दा पाकिस्तानले विकेट लिन सकेन।बलिङमा पाकिस्तानका शाहिन शाह अफ्रिदी र शादब खानले एक एक विकेट लिए।,Sports
एसिया कप २०२३ अन्तर्गत सुपर फोरको खेलमा भारतले पाकिस्तानलाई ३५७ रनको लक्ष्य दिएको छ।आइतबार वर्षाले प्रभावित भएपछि सोमबारदेखि सुरु भएको खेलमा भारतले २ विकेटको क्षतिमा ३५६ रन जोड्यो।भारतका लागि विराट कोहली र केएल राहुलले शतक प्रहार गरे। कोहलीले ९४ बलमा ९ चौका र ३ छक्काको मद्दतमा नटआउट १२२ रन र राहुलले १०६ बलमा १२ चौका र २ छक्काको मद्दतमा १११ रन जोडे।कोहलीको यो ४७औं एकदिवसीय शतक हो।कोहली र केएलबीच तेस्रो विकेटका लागि २३३ रनको साझेदारी भएको थियो। त्यसअघि श्रीलंकाको कोलम्बोमा टस हारेर पहिले ब्याटिङ गरेको भारतले २४.१ ओभरमा २ विकेटको क्षतिमा १४७ रन जोड्दा खेल वर्षाका कारण रोकिदा सोमबारसम्मका लागि स्थगित भएको थियो। आइतबार ओपनरद्वय रोहित शर्मा ५६ रन र शुभमन गिल ५८ रन बनाएका थिए। उनीहरुबीच पहिलो विकेटका लागि १२१ रनको साझेदारी भएको थियो।  सोमबार भारतका लागि कोहली र राहुलले २४.१ ओभरदेखि पूरै ब्याटिङ गर्दा पाकिस्तानले विकेट लिन सकेन।बलिङमा पाकिस्तानका शाहिन शाह अफ्रिदी र शादब खानले एक एक विकेट लिए।,Sports
म्यानमारविरूद्धको दोस्रो अन्तर्राष्ट्रिय मैत्रीपूर्ण फुटबल खेलमा नेपाल पराजित भएको छ।सोमबार भएको खेलमा नेपाललाई घरेलु टिम म्यानमारले १-० गोलले पराजित गरेको हो।नेपालले खेल सकिन चार मिनेट बाँकी छदा गोल खाएको थियो। म्यानमारका लागि विन तुनले ८६ मिनेटमा गोल गरेका थिए।यसअघि नेपाल र म्यानमारबीचको पहिलो मैत्रीपूर्ण खेल भने गोलरहित बराबरीमा सकिएको थियो।नेपालले विश्वकप २०२६ को छनोटको तयारीका लागि खेल खेलेको हो।नेपालले विश्वकप छनोटमा लाओससँग होम एन अवे गरी दुई खेल खेल्नेछ।पहिलो खेल १२ अक्टोबर र दोस्रो खेल १७ अक्टोबरमा हुनेछ। फिफा वरीयतामा नेपाल १७५औं र लाओस १८७औं स्थानमा छन्।जित हात पारे नेपाल दोस्रो चरणमा पुग्नेछ। पहिलो चरणमा नेपालसँगै २० ले प्रतिस्पर्धा गर्दैछन्। एसिया वरीयतको पुछारका २० लाई पहिलो चरणमा प्रतिस्पर्धा गराउन लागिएको हो। ,Sports
"अखिल नेपाल फुटबल संघ (एन्फा) अध्यक्ष पंकजविक्रम नेम्वाङ र महासचिव किरण राईलाई बर्खास्त गर्न माग गरिएको छ।एन्फामा आवद्ध ४९ सदस्य संघ तथा क्लबले अध्यक्ष नेम्वाङ र महासचिव राईलाई बर्खास्त गर्न माग गर्दै निवेदन दिएका हुन्। सदस्यहरूले एन्फाको विधान धारा ३६ (३) अनुरुप एन्फाका ४० प्रतिशत सदस्यको हस्ताक्षरसहित विशेष साधारण सभा बोलाउनका लागि निवेदन दिएको बताएका छन्।विशेष साधारणसभामा अध्यक्ष नेम्वाङ र महासचिव राईलाई बर्खास्त गर्ने एजेन्डा राख्न उनीहरूले लेखेको निवेदनमा उल्लेख छ।४० प्रतिशत सदस्यको निवेदनपछि अब २३ असोजसम्ममा विशेष साधारण सभा बोलाउनु पर्ने एन्फाको विधान उल्लेख छ। एन्फाले साधारणसभा नबोलाएमा आफूहरूले साधारण सभा आह्वान गर्ने पनि सदस्यहरूले लेखेको निवेदनमा उल्लेख छ।साधारण सभामा दुई तिहाइ मत पुगेको अवस्थामा मात्र बर्खास्त हुन सक्ने प्रावधान छ।उनीहरूले एन्फाका अध्यक्ष र महासचिव नेपाली फुटबललाई धरासयी बनाउन उद्दत रहेको र उनीहरू पदमा रहे नेपाली फुटबलको भविष्यमा नै क्षति पुग्ने निवेदकको आरोप छ।उनीहरूले अध्यक्ष र महासचिवमाथि १९ आरोपसमेत लगाएका छन्। जसमा विशेष साधारण सभा भर्चुअलमार्फत् गर्न आह्वान गरेको,  बजेट पास नगरी अनाधिकृत रूपमा बिनाआवश्यक अख्तियारी आर्थिक करोबार गरेको, बोर्ड बैठकबाट अवैधानिक निर्णय गरेको लगायतका छन्। गत वर्षको असारमा अध्यक्षमा निर्वाचित भएदेखि नै नेम्वाङ अल्पमतमा परेका थिए। पूर्वअध्यक्षद्वय कर्माछिरिङ शेर्पा र गणेश थापा पक्षका सदस्यको बहुमत हुँदा अध्यक्ष नेम्वाङले कार्य समितिबाट विभिन्न निर्णय गराउन सकस पर्ने गरेको छ।हेर्नुहोस् निवेदन :-",Sports
"पाकिस्तानी क्रिकेट टिमका तीव्र गतिका बलर शाहीन शाह अफ्रिदीले भारतीय तीव्र गतिका बलर जसप्रित बुमराहलाई उपहार दिएका छन्। उपहार दिएको भिडिओ अहिले सामाजिक सञ्जालमा भाइरल भइरहेको छ।बुमराह हालसालै पिता बनेका थिए। त्यसै अवसरमा आइतबार अफ्रिदीले जसप्रितका छोराको लागि उपहार दिएका हुन्।यसको भिडिओ अफ्रिदिले ट्विटरमा सेयर गरेका छन्। जसमा उनले बुमराहलाई छोराको लागि उपहार दिएर बधाई दिइरहेका छन्।आइतबार एसिया कप २०२३ अन्तर्गत भारत र पाकिस्तानबीच कोलम्बोमा भएको सुपर फोर खेल वर्षाका कारण स्थगित भएपछि खेलाडी मैदानबाट फर्किंदै गर्दा अफ्रिदीले बुमराहलाई उपहार दिएका थिए।Love and peace. Congratulations @Jaspritbumrah93 and family on the birth of your child. Prayers for the entire family. We battle on the field. Off the field we are just your regular humans. pic.twitter.com/SyHtK7wfvA— Shaheen Shah Afridi (@iShaheenAfridi) September 10, 2023भिडिओमा अफ्रिदी भन्छन्- 'धेरै बधाई भाइ, मेरो तर्फबाट एउटा सानो उपहार। अल्लाहले उनलाई खुसी राखुन् र उनी नयाँ बुमराह बन्छन्।'गत सोमबार बुमराहले पिता बनेको जानकारी दिँदै भनेका थिए– ‘हाम्रो परिवार बढेको छ। आज बिहान हाम्रा छोरा अंगद जसप्रित बुमराह संसारमा आएका छन्।'आफू पिता बन्ने भएपछि बुमराह एसिया कपका खेल छाडेर गत साता भारत फर्किएका थिए। जसका कारणले समूह चरणमा उनले नेपालविरूद्धको खेल गुमाएका थिए।",Sports
"२०१९ को क्रिकेट विश्वकपको उपविजेता न्युजिल्यान्डले यस वर्षको विश्वकपको लागि १५ सदस्यीय राष्ट्रिय टिम घोषणा गरेको छ। चोटबाट फर्किएपछि ३० वर्षीया कप्तान केन विलियमसन टिममा छन्। उनी आइपिएल २०२३ का दौरान घाइते भएका थिए।विलियम्सन र तीब्र गतिका बलर टिम साउथी दुवै चौथो विश्वकपमा सहभागी हुँदैछन्। मार्क च्यापम्यानले टिममा स्थान पक्का गर्दा २३ वर्षीय स्पिन-बलिङ अलराउन्डर रचिन रविन्द्र पनि टिममा छन्। रविन्द्रले  जसले शुक्रबार इंग्ल्याण्डविरुद्ध ३ विकेट लिएका थिए। ‍न्युजिल्यान्डले अक्टोबर ५ मा विश्वकपको उद्घाटन खेलमा २०१९ फाइनलमा भिडेको इंङल्याण्डसँग खेल्नेछ।न्युजिल्यान्ड टिम: केन विलियम्सन (कप्तान), ट्रेन्ट बोल्ट, मार्क च्यापम्यान, डेभन कोनवे, लोकी फर्ग्युसन, म्याट हेनरी, टम लाथम, डेरिल मिचेल, जिमी नीशम, ग्लेन फिलिप्स, रचिन रविन्द्र, मिच सान्टनर, इश सोधी, टिम साउथी, विल योङ।",Sports
युरोपियन च्याम्पियनसिप २०२४ को छनोटमा नेदरल्यान्ड्सले  समूह ‘बी’ मा आयरल्यान्डलाई हराएको छ।नेदरल्यान्ड्स २-१ गोलले विजयी भएको हो। उसका लगागि गाप्कोले १९ मिनेटमा पेनाल्टीमा पहिलो गोल गर्दा वेगहोर्सले ५६ मिनेटमा टिमका लागि दोस्रो गोल गरे।त्यसअघि आयरल्यानडले इडहाले चौथो मिनेटमा गरेको गोलबाट खेलमा अग्रत लिउको थियो।जितसँगै नेदरल्यान्ड्स समूहमा ९ अंक जोडेर दोस्रो स्थानमा छ।  शीर्ष स्थानको फ्रान्सको १५ अंक हुँदा ग्रिस ९ अंक जोडेर तेस्रो स्थानमा छ। ग्रिसले जिब्राल्टरलाई ५-० गोलले हरायो। यता पोल्यान्ड भने पराजित भएको छ। पोल्यान्डलाई अल्बानियालाई २-० गोलले हरायो।जितसँगै अल्बानिया १० अंक जोडेर समूह ‘ई’ को शीर्ष स्थानमा उक्लिएको छ। यो समूहमा चेक  र माल्डोभाको ८-८ अंक छ भने पोल्यान्ड ६ अंकसहित चौथो स्थानमा झरेको छ। ,Sports
"सर्वियन टेनिस स्टार नोभाक जोकोभिचले कीर्तिमानी २४औं ग्रान्डस्लामको उपाधि जितेका छन्।सोमबार विहान न्युयोर्कमा सम्पन्न युएस ‌ओपनको पुरुष एकलको फाइनलमा ड्यानिल मेदवेदेवलाई पराजित गर्दै जोकोभिचले कीर्तिमानी उपाधि जित्न सफल भएका हुन्।३६ वर्षीय जोकोभिचले ६-३, ७-६ (७-५) र  ६-३ को सोझो सेटमा जित निकाल्दै उपाधि जित्न सफल भएका हुन्।यससँगै उनले सर्वाधिक ग्रान्डस्लाम जित्ने मार्गरेट कोर्टको ५० वर्षको कीर्तिमान बराबरी गर्न सफल भए। दोस्रो वरीयताका जोकोभिचले २७ वर्षीय रसियन खेलाडी ड्यानिललाई हराएसँगै चौथो युएस ओपन जितेका हुन्।यसअघि विम्बल्डनको फाइनलमा स्पेनिस खेलाडी कार्लोस अल्कारेजसँग पराजित हुँदा जोकोभिचले कीर्तिमान बराबरी गर्न पाएका थिएनन्।जोकोभिचले यसअघि अष्ट्रेलियन ओपन र फ्रेन्च ओपन जितेर पुरुष एकलतर्फ २२ उपाधि जित्ने राफेल नाडालको कीर्तिमानलाई पछि पारेका थिए।जोकोभिचको युएस ओपनको उपाधिसँगै एक टेनिसका महान खेलाडी मध्येकी एक मार्गरेट कोर्टको २४ एकल उपाधि जित्ने विश्व कीर्तिमान बराबरी भएको हो। अष्ट्रेलियाकी महिला खेलाडी मार्गरेटको यो कीर्तिमान ५० वर्षपछि बराबरी भएको हो। थप एक उपाधि जिते जोकोभिचले भंग गर्दै इतिहासमा आफ्नो नाम लेखाउनेछन्। जोकोभिन २३ ग्राण्डस्लाम उपाधिमा अष्ट्रेलियन ओपन १०, विम्बल्डनमा सात, युएस ओपन चार र तीन फ्रेन्च ओपन समावेश छन्। उनी कम्तिमा तीन पटक सबै चार प्रमुख जित्ने पहिलो खेलाडी समेत हुन्। ",Sports
नेपाल र म्यानमारबीच दोस्रो अन्तर्राष्ट्रिय मैत्रीपूर्ण फुटबल खेल आज हुँदैछ। म्यानमारमा हुने खेल नेपाली समयअनुसार दिउँसो सवा चार बजे सुरू हुनेछ।यसअघि शुक्रबार भएको पहिलो खेल गोलरहित बराबरीमा सकिएको थियो। सो खेलको  ६३ मिनेटमा म्यानमारका फियो विनले बलले हातले छोए पछि नेपालले पेनाल्टी पाएको थियो। तर प्राप्त अवसरमा नेपालका अञ्जनको प्रहारलाई म्यानमारका गोलकिपरले जिन फ्योले विफल पारिदिएका थिए। जसका कारण नेपालले जित र अञ्जनले कीर्तिमान बनाउन चुकेका थिए। सो खेलमा गोल गरेको भए उनले नेपालका लागि सर्वाधिक अन्तर्राष्ट्रिय गोलको कीर्तिमान बराबरी गर्ने थिए। अञ्जनले ९ वर्ष राष्ट्रिय टिमबाट खेल्दा १२ गोल गरिसकेका छन्। अब एक गोल गरे उनले हरि खड्का र नीराजन रायमाझीको १३ गोलको कीर्तिमान बराबरी गर्नेछन्।,Sports
एसिया कप २०२३ अन्तर्गत पाकिस्तान र भारतबीचको सुपर फोरको खेल अहिले सवा तीन बजे सुरु हुँदैछ। श्रीलंकाको कोलम्बोमा पाकिस्तानले टस जितेर पहिले बलिङ रोजेको छ। पहिले ब्याटिङ गर्ने भारतको टिममा एक परिवर्तन भएको छ। श्रेयस अय्यरको स्थानमा केएल राहुलले स्थान बनाएका छन्।भारत र पाकिस्तानबीच समूह चरणमा पनि प्रतिस्पर्धा भएको थियो।वर्षाले प्रभावित उक्त खेल रद्द भएको थियो। पहिले ब्याटिङ गरेको भारत २६६ रनमा समेटिएको थियो। तर पाकिस्तानले ब्याटिङ सुरु गर्न नपाउँदै खेल वर्षाले रोकिएको थियो।दुवै टिमले नेपाललाई पराजित गर्दै सुपर फोरमा स्थान पक्का गरेका हुन्। ,Sports
