Input,Category
"चीन किन सधैं तर्किन्छ कालापानीमा ?सुधीर शर्माशक्तिराष्ट्रहरू जब ‘कार्टोग्राफिक एग्रेसन’ तर्फ अग्रसर हुन्छन्, तब ठान्दा हुन्छ— संकटको घडी आउन लाग्यो । केही समययता दक्षिण एसिया, त्यसमा पनि हिमाली भेगमा यस खाले प्रतिस्पर्धा देखिन थालेको छ ।  संग्रह  सेयर",opinion
"राजनीतिमा उमेर हदलोकराज बरालजोआज राजनीतिक क्षेत्रमा उमेरको हदबन्दी हुनुपर्ने बहस चलेको छ, जुन पुस्तान्तरण र रूपान्तरणसित जोडिन्छ । यसको प्रमुख कारण हो— राजनीतिलाई बढी यथास्थितिवादी, कम जनमुखी र वंशवाद कायम गर्ने तरिका मान्न थालिनु ।  संग्रह  सेयर",opinion
काठमाडौंमा युरेसियन अटरकमल मादेनप्राध्यापक महेन्द्र महर्जनले मर्निङवाकका क्रममा काठमाडौंको थानकोटस्थित एउटा ब्याडमिन्टन कोर्टनजिक न्याउरी मुसाजत्रो जनावर अंगभंग भएको अवस्थामा फेला पारे । त्यो अगस्ट २०२१ को कुरा थियो ।  संग्रह  सेयर,opinion
धार्मिक द्वन्द्व नमच्चाऔंझमक घिमिरेगत हप्ता भारतका विवादास्पद बाबा धीरेन्द्रकृष्ण शास्त्रीले नेपालमा आफ्नो हर्कत देखाए । यी बाबालाई ल्याउनमा नेपालकै उद्योगपति विनोद चौधरीहरूको हात थियो भन्ने सुनिएको छ ।  संग्रह  सेयर,opinion
"सवारी लाइसेन्स वितरणमा हेलचेक्र्याइँसम्पादकीयसवारीचालक अनुमतिपत्र (लाइसेन्स) वितरण यसै पनि अति सुस्त छ, त्यसमाथि यातायात व्यवस्था विभागले केही महिनादेखि लाइसेन्स छपाइ बन्द गरेको छ । कार्ड अभाव रहेको जनाउँदै विभागले विदेश जानेलाई अत्याश्यक परेको अवस्थामा मात्र लाइसेन्स छापिरहेको छ ।  संग्रह  सेयर",opinion
"स्थानीयतामा आधारित शिक्षानीतिको खाँचोइन्द्र अधिकारीभूकम्पपछि गाउँगाउँका विद्यालयका नयाँ तथा भव्य संरचना बने, बनिरहेका छन् । अधिकांश विद्यालयमा शिक्षकहरू दरबन्दी अनुरूप छन् । तर केही विद्यालयलाई अपवाद मान्दा अधिकांशमा विद्यार्थी अति न्यून छन् र घट्दै जाने यो अवस्थाले निरन्तरता पाउने देखिन्छ, किनकि बाल कक्षादेखि उच्च मावि गरी ६ देखि १० वटासम्म विद्यालय भएका कतिपय गाउँपालिकाका वडाहरूमा गर्भवती महिला केही वर्षअघिसम्म दर्जनौंमा हुनेमा आजकल १० जनासम्म पनि हुँदैनन् ।  संग्रह  सेयर",opinion
लगानीकर्तालाई चीनमा झैं सम्मानको खोजीचन्द्र ढकालप्रधानमन्त्री पुष्पकमल दाहाल लगायत उच्च सरकारी अधिकारीहरूसँग मन्दीमा गैरहेको अर्थतन्त्र उकास्नेबारे छलफल गरेकै दिन म खुन्मिङमा आयोजना हुने चीन दक्षिण एसिया व्यापार मेला र बिजनेस फोरममा सहभागी हुन चीनतर्फ जाँदै थिएँ ।  संग्रह  सेयर,opinion
"डिजिटल दुनियाँको व्यवस्थापनगोविन्द मरासिनीयुट्युबको क्रेज विश्वभर बढ्दो छ । सर्वाधिक चर्चित सर्च इन्जिन गुगलको सहउत्पादकका रूपमा दरिएको युट्युब आर्थिक कारोबार, कमाइ वा रोजगारीका दृष्टिले बलियो मानिएको छ । अनलाइन टीभीको सभ्य परिचय पाएको युट्युब सूचना प्रवाहको माध्यम पनि बनेको छ ।  संग्रह  सेयर",opinion
"जनकपुर अझै दूर छ !चन्द्रकिशोरतराईमा तुलसीदासद्वारा रचित अवधी भाषाको रामचरितमानस बढी वाचन गरिन्छ । त्यस पुस्तकको उत्तरकाण्डमा वर्णित छ— रामले अयोध्याका आफ्ना जनतालाई बोलाएर भने, ‘प्रभुतासँग नडराईकन कुनै पनि प्रकारको अनीतिविरुद्ध निर्भय भएर बोल्नू ।  संग्रह  सेयर",opinion
संसदीय समितिहरू नसुस्ताऊन्सम्पादकीयप्रतिनिधिसभा निर्वाचन भएको नौ महिना र पहिलो बैठक बसेको साढे सात महिनापछि बल्ल संसदीय समितिहरूले नेतृत्व पाएका छन् । ‘मिनी संसद्’ भनेर चिनिने संसदीय समितिहरूको गठन नै ढिला गरी गत वैशाखमा १५ मात्र भएको थियो ।  संग्रह  सेयर,opinion
राष्ट्रिय प्रतियोगितालाई कुङफु रेफ्री सेमिनारकान्तिपुर संवाददातानेपाल उमा कुङफु संघको आयोजनामा छैटौं राष्ट्रिय रेफ्री सेमिनार शनिबार जरंकुमा सकिएको छ । भदौ २२ र २३ गते जरंकुमै हुने छैटौं राष्ट्रिय उमा कुङफु प्रतियोगितालक्षित गरी आयोजना गरिएको एकदिने सेमिनारमा १५ निर्णायकले भाग लिएको संघका अध्यक्ष सिद्धार्थ लामाले जनाएका छन् ।  संग्रह  सेयर,sports
बास्केटबलमा आयोजक केएमसी र इनोभेटिभ विजयीकान्तिपुर संवाददाताआयोजक केएमसी ‘ए’ र इनोभेटिभले तेस्रो केएमसी अन्तरविद्यालय बास्केटबल प्रतियोगिताको सिनियर ब्वाइजमा शनिबार विजयी भएका छन् ।  संग्रह  सेयर,sports
मोन्टी र द्रविड आमनेसामनेविनोद पाण्डेनेपाल र भारत सोमबार श्रीलंकाको क्यान्डीमा एसिया कप क्रिकेटमा आमनेसामने हुँदा मोन्टी देसाई र राहुल द्रविड फेरि एकपल्ट मैदानमा सँगै हुनेछन् । द्रविड प्रशिक्षक रहेको भारत एकरुपको प्रदर्शन गर्ने दाउमा छ भने मोन्टीले नेपाललाई टेस्ट राष्ट्रको अनुभव गराइरहेका छन् ।  संग्रह  सेयर,sports
बास्केटबलमा ज्ञान निकेतन विजयीकान्तिपुर संवाददाताज्ञान निकेतनले तेस्रो केएमसी अन्तरविद्यालय बास्केटबल प्रतियोगिताको सिनियर र जुनियर ब्वाइज सफलता पाएको छ ।  संग्रह  सेयर,sports
एनआईसी एसिया फुटसल कप सम्पन्नकान्तिपुर संवाददाताएनआईसी एसिया फुटसल कप प्रतियोगिता सकिएको छ । स्पर्धामा सातै प्रदेशबाट छानिएका २० पुरुष र १५ महिला टिमले प्रतिस्पर्धा गरेका थिए ।  संग्रह  सेयर,sports
सुविन र सुप्रियालाई टेबलटेनिसको स्वर्णकान्तिपुर संवाददातामहान् सिद्धार्थका सुविन पोखरेलले ब्वाइज र सेन्ट लरेन्सकी सुप्रिया गुरुङले गर्ल्स सिंगलतर्फ अन्तरविद्यालय टेबलटेनिस प्रतियोगिताको स्वर्ण पदक जितेका छन् ।    संग्रह  सेयर,sports
ताप्लेजुङ गोल्डकप : इलामको रेडहर्स सेमिफाइनलमाकान्तिपुर संवाददाताफुङलिङमा भइरहेको ताप्लेजुङ गोल्डकप फुटबल प्रतियोगिताको दोस्रो खेलबाट रेडहर्स फुटबल क्लब इलाम सेमिफाइनल पुगेको छ । टोलीले शुक्रबार गोर्खा स्पोर्टिङ क्लब दमकलाई २–० ले पराजित गरेको हो । इलामका फरवार्ड युवराज राईले खेलको १० औं मिनेटमै गोल गरेका थिए । उनी एपीएफ क्लबका खेलाडी हुन् ।  संग्रह  सेयर,sports
जुनियर पौडी टोली इजरायल जानेकान्तिपुर संवाददातानेपाली पौडी खेलाडीले इजरायलको नेतन्यामा हुने एक्वाटिक वर्ल्ड जुनियर पौडी च्याम्पियनसिपमा भाग लिने भएका छन् ।  संग्रह  सेयर,sports
विश्व भारोत्तोलनमा नेपालका ५ खेलाडीकान्तिपुर संवाददातानेपालले विश्व भारोत्तोलन च्याम्पियनसिपमा १६ वर्षपछि सहभागिता जनाउने भएको छ । भदौ १७ देखि ३१ सम्म रियादमा हुने आईडब्लूएफ विश्व च्याम्पियनसिपमा ३ पुरुष र २ महिला खेलाडीले भाग लिनेछन् ।  संग्रह  सेयर,sports
"वाग्मती प्रदेश क्रिकेट संघको अध्यक्षमा पारस खड्का निर्वाचितकान्तिपुर संवाददाताराष्ट्रिय क्रिकेट टिमका पूर्वकप्तान पारस खड्का वाग्मती प्रदेश क्रिकेट संघको अध्यक्षमा निर्वाचित भएका छन् । उनी शुक्रबार धोवीघाट, ललितपुरमा आयोजित निर्वाचनमा उमेश पियालाई ९ मतले पराजित गर्दै प्रदेश अध्यक्ष चुनिएका हुन् ।  संग्रह  सेयर",sports
लिस्नु कप फुटबल प्रतियोगिता भदौ २३ देखिमाधव ढुंगानालिस्नु कप फुटबल प्रतियोगिताको २१ औं संस्करण यही भदौ २३ गतेदेखि रुपन्देहीको कोटिहवामा हुने भएको छ ।  संग्रह  सेयर,sports
नेपाल १७ बलमा १० विकेटले विजयीकान्तिपुर संवाददातानेपाली महिला राष्ट्रिय टिमले विमेन्स ट्ववान्टी–२० विश्वकप छनोटको शुक्रबार भएको खेलमा बहराइनलाई १० विकेटले पराजित गरेको छ । मलेसियामा शुक्रबार भएको खेलमा बहराइनले प्रस्तुत गरेको ३२ रनको लक्ष्य पाएको नेपाल १७ बलमै त्यहाँसम्म पुगेको थियो ।  संग्रह  सेयर,sports
हालान्ड र बोनमती वर्षका उत्कृष्ट खेलाडीएजेन्सीइंग्लिस प्रिमियर लिग क्लब म्यानचेस्टर सिटीका इर्लिङ हालान्ड तथा स्पेनकी ऐटना बोनमती युरोपेली फुटबल वर्ष खेलाडी घोषित भएका छन् । बिहीबार राति उनीहरूलाई सन् २०२२–२०२३ मा उत्कृष्ट प्रदर्शन गरेबापत यो अवार्ड दिइएको हो ।  संग्रह  सेयर,sports
"पीएसजी ‘ग्रुप अफ डेथ’ माएएफपीयुरोपेली च्याम्पियन्स लिगको नयाँ सिजनको ड्र बिहीबार निकालिएको छ र त्यसमा पेरिस सेन्ट जर्मेन (पीएसजी) ‘ग्रुप अफ डेथ’ मा परेको छ । समूह ‘एफ’ मा पीएसजीसँगै बोरुसिया डर्टमुन्ड, एसी मिलान र न्युकासल युनाइटेड छन् ।  संग्रह  सेयर",sports
यो त सुरुआत हो : मोन्टीविनोद पाण्डेपाकिस्तानसँग पहिलो खेलमा अनुभव बटुल्ने अवसर पाएको नेपालले एसिया कप क्रिकेटमा सोमबार भारतसँग खेल्दै छ । पाकिस्तान एकदिवसीय अन्तर्राष्ट्रियमा विश्व नम्बर एक टोली हो भने भारत त अझ विश्व क्रिकेटको महाशक्ति । सम्भवतः नेपालले भारतसँग नतिजा बुझेको हुनुपर्छ ।  संग्रह  सेयर,sports
चाचाको शतकको खुसीकान्तिपुर संवाददाताहेडलाइनमा कप्तान बाबर आजम रहे । किनभने उनले १ सय ५१ रन बनाए र प्लेयर अफ द म्याच बने । उनले दोस्रो पटक एकदिवसीयका एकै खेलमा १ सय ५० भन्दा बढी रन बनाए । नेपाली बलरहरूले ४२ ओभरसम्म खेललाई जीवन्त राखेका थिए । शतक पूरा गरेपछि भने बाबर नेपाली बलरमाथि झनै आक्रामक बनेका थिए ।  संग्रह  सेयर,sports
"‘सेफ नेपाल’ आजदेखिसीमा तामाङपाककलासम्बन्धी प्रतिस्पर्धात्मक रियालिटी सो ‘सेफ नेपाल’ आजदेखि प्रसारणमा आउँदै छ । पहिलो पटक पाककलासम्बन्धी रियालिटी शो नेपालमा सुरु हुन लागेको धर्म पिक्चर्सका अध्यक्ष तथा ‘सेफ नेपाल’ का निर्माता धर्मराज पाण्डेले दाबी गरे । कार्यक्रममार्फत् रैथाने खाना, बाली तथा वस्तुसहित फुड टुरिजमको पनि प्रवर्द्धन हुने आयोजकको दाबी छ ।  संग्रह  सेयर",entertainment
रचनाको स्वरमा 'यो साल नि परदेशमै तीज'कान्तिपुर संवाददातागायिका रचना रिमालको स्वरमा ‘यो साल नि परदेशमै तीज’ गीत सार्वजनिक भएको छ । पढाइ र रोजगारीको सिलसिलामा विदेशिएका नेपाली दिदीबहिनीहरूको मनोभावना समेटिएको गीत रचनाको अफिसियल युट्युब च्यानलमार्फत सार्वजनिक भएको हो ।  संग्रह  सेयर,entertainment
स्वर्गालयमा बीपी-मदन संवादबुनु थारुगाईजात्राको तिथि नजिकिँदै गर्दा कलाकार मनोज गजुरेलको चर्चा अन्य समयमा भन्दा बढी हुन्छ । अनि उनले के हाँस्य खजना ल्याउँछन् भन्ने दर्शकहरुका लागि चासो पनि उस्तै । दर्शकको अपेक्षालाई निराश नबनाउन गजुरेल हरेक वर्ष नयाँ नयाँ पात्रको रुपमा आफूलाई तयार गर्छन् ।  संग्रह  सेयर,entertainment
सारुकको 'माया' सार्वजनिककान्तिपुर संवाददातादिवंगत अभिनेता सारुक ताम्राकार अभिनित फिल्म 'ह्यासट्याग माया'का केही दृश्य समेटेर तायर पारेर म्युजिक भिडियो सार्वजनिक गरिएको छ । 'माया'बोलको भिडियोमा सारुकको छायांकनका दृश्यहरु समावेश छन् ।   संग्रह  सेयर,entertainment
'जुलेबी' मा जेलिएका चार पात्ररीना मोक्ताननेपालमा महिला मुद्दाका फिल्म कमै बन्छन् । महिलाका यौन मनोविज्ञानलाई विरलै पर्दामा देखाइन्छ । हालै प्रदर्शनमा आएको 'जुलेबी'ले भने बहसमा धेरै नसमेटिने यही विषयलाई समेटेको छ । गणेशदेव पाण्डे निर्देशित यो 'एन्थोलोजी (थुप्रै कथाले भरिएको एउटा फिल्म) मा चार महिला पात्रका कथा समेटिएका छन् । तृष्णा (मोनिका थापा) र आशा (उषा रजक) को कथामार्फत यौन मनोविज्ञानका विषयलाई फिल्मले छोएको छ ।  संग्रह  सेयर,entertainment
‘मिस नेवाः नेपाल’ को उपाधि सकिना महर्जनलाईकान्तिपुर संवाददातानेवार समुदायका युवतीबीचको सौन्दर्य प्रतियोगिता ‘मिस नेवाः नेपाल’को उपाधि सकिना महर्जनले जितेकी छिन् ।  कमलादिस्थित नेपाल प्रज्ञा प्रतिष्ठानमा भएको फिनालेमा मिस नेवाः नेपालको उपाधि सकिनाले हात पारेकी हुन् ।  संग्रह  सेयर,entertainment
‘नांगो गाउँ’ मा राजनीतिक दाउपेचकान्तिपुर संवाददातादयाहाङ राई र मिरुना मगर अभिनीत फिल्म ‘नांगो गाउँ’ को ट्रेलर सार्वजनिक भएको छ । भदौ २९ गतेदेखि प्रदर्शन हुने फिल्मको ट्रेलर बुढासुब्बा युट्युब च्यानलमार्फत सोमबार सार्वजनिक गरिएको हो ।  संग्रह  सेयर,entertainment
'पिरतीको मुस्कान'मा मिरुना र करणको जोडीकान्तिपुर संवाददाताअभिनेत्री मिरुना मगर र 'द भ्वाइस अफ नेपाल ४'का विजेता करण राईको अभिनयमा नयाँ गीत 'पिरतीको मुस्कान' सार्वजनिक भएको छ ।  संग्रह  सेयर,entertainment
"‘मेरो भ्वाइस युनिभर्स’ को उपाधि प्रीतमलाई, खुसीलाई ‘डान्स युनिभर्स’कान्तिपुर संवाददातासर्वाधिक नगद राशिको रियालिटी शो 'मेरो भ्वाइस युनिभर्स' को उपाधि सिक्किमका प्रीतम राईले र 'मेरो डान्स युनिभर्सको उपाधि थाइल्यान्डकी खुसी कार्कीले जितेका छन् ।  संग्रह  सेयर",entertainment
